"","id_num","Sex","Meat_g","Meat_inhouse_g","Meat_outhouse_g","Season_Wkdays_calib_weights_2rec"
"1",422118,2,51.353178025,51.353178025,0,3323.446959
"2",513948,2,86.51974869,31.75,54.76974869,898.6650535
"3",537510,2,70.5,0,70.5,2384.902477
"4",1068363,2,104.097555876,102,2.097555876,5604.778969
"5",1291852,1,0,0,0,955.8572183
"6",2184916,1,53.116371155,8,45.116371155,638.0912488
"7",2814189,1,57.5,52.5,5,1941.720907
"8",2998271,2,57.5,14,43.5,1440.244864
"9",3663404,1,0,0,0,1928.518671
"10",3791688,1,62.58932401,0,62.58932401,1470.729812
"11",3847685,2,190.07685089,150.5,39.57685089,1357.969088
"12",5466825,2,106,70.5,35.5,1601.943303
"13",6235100,2,128.12867546,90.512937545,37.615737915,1591.036088
"14",6527948,2,22.5,0,22.5,2255.888871
"15",6816746,1,29.0178566,0,29.0178566,1422.718286
"16",6928111,1,214.8218665295,210.20938875,4.6124777795,1666.929564
"17",6936066,1,64,64,0,2401.734666
"18",7584303,2,67.625,57.125,10.5,2372.440119
"19",7593908,1,109.61501169,92.5,17.11501169,2222.410112
"20",7769767,1,232.192775725,232.192775725,0,967.7149454
"21",8433815,2,96,96,0,1334.694924
"22",8630665,1,194.766391755,96.75,98.016391755,7342.594662
"23",8715411,1,57.370605465,29,28.370605465,1145.452488
"24",9334145,2,0,0,0,1342.612116
"25",9628898,1,214.35549167,126.705511125,87.649980545,6251.699112
"26",9674530,1,0,0,0,1608.216718
"27",12283127,1,155.5,65.5,90,3355.86046
"28",12343562,2,88.1632122995,18,70.1632122995,1113.451706
"29",13189329,1,187.625,65.625,122,3096.114835
"30",13588287,2,133.5,80,53.5,1674.888439
"31",13663636,2,73.7092688085,73.7092688085,0,1892.06761
"32",13784552,2,105.6234970085,57,48.6234970085,1886.817849
"33",14056154,2,11.5,11.5,0,1086.653271
"34",14239087,1,145,145,0,2007.335215
"35",14438310,1,160,0,160,5820.118254
"36",15082380,2,62.5,62.5,0,2952.165441
"37",15281112,1,0,0,0,1108.528588
"38",15678547,2,60,60,0,4669.425594
"39",15824486,2,136.5,0,136.5,1565.704948
"40",16537727,1,101.8063817,78,23.8063817,1697.972048
"41",17710225,1,48.75,0,48.75,4289.18097
"42",17950047,2,0.7920211555,0,0.7920211555,1951.039351
"43",18725030,2,70.5,0,70.5,894.487798
"44",18795288,1,187,43,144,1899.402959
"45",19534526,1,201.70196915,0,201.70196915,895.9168242
"46",19816028,2,0,0,0,2255.012351
"47",20974695,2,73.29152298,73.29152298,0,782.2401899
"48",21189976,1,57,0,57,955.8572183
"49",21637163,1,56.38125801,40,16.38125801,1207.21482
"50",21984160,2,33.855631825,21.4692955,12.386336325,942.5016228
"51",22315739,2,72,42,30,3970.665101
"52",22873703,2,37.327728746,3.124475956,34.20325279,1317.591503
"53",23553731,1,103.2666678445,53.2666678445,50,5672.624305
"54",23661365,1,70.5,0,70.5,1774.671785
"55",24404206,1,146.36948204,85,61.36948204,2968.683655
"56",24565326,2,151.280987741,151.280987741,0,1171.303217
"57",24903119,1,188.70500185,13.5,175.20500185,2776.638572
"58",25094257,2,26.5,26.5,0,606.2755268
"59",26070286,2,10.5,0,10.5,1606.55952
"60",26874320,2,0,0,0,1501.965363
"61",26934939,1,309,252.5,56.5,1750.314706
"62",27653799,1,93.5,0,93.5,1187.144923
"63",27796298,1,70.31339836,0,70.31339836,2049.453693
"64",27849676,2,32.80499935,15.75,17.05499935,3698.810968
"65",27910995,1,140.5,140.5,0,1378.352667
"66",27941988,2,25.232917785,25.232917785,0,2295.71777
"67",28286309,1,50.75258398,5.33333349,45.41925049,1378.352667
"68",28424336,1,246.8266592,141.999934195,104.826725005,1828.734345
"69",28674188,2,93,93,0,3422.741677
"70",29648401,2,81.875000955,81.875000955,0,3722.395865
"71",29849172,2,93,93,0,798.8504012
"72",30963399,2,45,45,0,2139.183602
"73",31158269,1,155.09881308,84.5750046,70.52380848,898.8868782
"74",31767301,2,329.5,238.5,91,2580.104272
"75",32164459,1,277.71684837,136.34184837,141.375,1028.366637
"76",32326867,1,93.100984575,0,93.100984575,798.0613992
"77",32351421,1,290.75165558,277,13.75165558,1755.765817
"78",32692871,1,306,96,210,1544.160217
"79",33034525,2,40,0,40,1103.375639
"80",33257602,1,122.49999235,0,122.49999235,3049.630013
"81",33684836,1,52.5,52.5,0,3249.270164
"82",33759599,1,152.846853255,18,134.846853255,1197.988566
"83",34178710,2,86.5,86.5,0,970.6718604
"84",34799670,2,79,79,0,2752.296621
"85",34849283,1,140.4189664125,135,5.4189664125,3222.215187
"86",34867509,1,29.21052456,0,29.21052456,3672.262371
"87",34880688,1,124.75,50,74.75,2254.96567
"88",35672192,2,49.80570078,49.80570078,0,3440.475039
"89",36357820,1,86,0,86,1581.066891
"90",38129605,1,62.5,62.5,0,2635.153401
"91",38319569,1,89.720373155,0,89.720373155,1388.411468
"92",38802083,1,273.339099885,85.339099885,188,10086.11265
"93",38893898,1,208.965431215,58.965431215,150,3585.428826
"94",39925807,1,94.166666985,0,94.166666985,5218.476028
"95",40410754,2,20,20,0,751.8075825
"96",41384109,2,55.5,55.5,0,1661.095808
"97",41565383,1,0,0,0,3748.18365
"98",41855255,1,20.822916985,20.822916985,0,2146.953623
"99",41986295,2,73.5,0,73.5,884.3504367
"100",42496270,2,28.5,12.5,16,1330.232709
"101",42648393,2,120,120,0,792.2964239
"102",44063114,1,29.5,29.5,0,1052.14518
"103",44193342,2,41.25,41.25,0,3833.902034
"104",44352407,2,6.5,6.5,0,2991.772236
"105",44354028,2,144,144,0,780.4699417
"106",44725096,1,410.5,120.5,290,2261.817664
"107",45001865,2,0,0,0,4481.793854
"108",45701674,1,113.5,58.5,55,1018.939794
"109",45734937,2,65.625,0,65.625,1395.13095
"110",46094142,2,56.5,0,56.5,1535.670397
"111",46140395,1,288.5,0,288.5,1840.795872
"112",47339410,2,128,72.5,55.5,1140.79045
"113",47741536,1,141.9313817,71.9313817,70,2634.865185
"114",48488604,1,105.87559986,78.234999655,27.640600205,813.8446964
"115",49641310,2,82.416666746,82.416666746,0,1096.184436
"116",50645423,1,202.5,150,52.5,1010.603483
"117",51812246,2,35,35,0,723.4120618
"118",52669373,2,218.169021605,58,160.169021605,2837.140492
"119",53120056,2,35,0,35,653.3414178
"120",53381364,1,92.93315315,81.5,11.43315315,2314.116841
"121",54125554,2,63.490797045,32.52276993,30.968027115,2820.120516
"122",57725150,2,19.88056016,19.88056016,0,3189.67718
"123",59270559,1,133.5,97.5,36,1873.834947
"124",59468169,2,24,0,24,3172.57178
