Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1961;1961;tonnes;107233;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1962;1962;tonnes;119598;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1963;1963;tonnes;114826;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1964;1964;tonnes;109641;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1965;1965;tonnes;112102;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1966;1966;tonnes;118412;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1967;1967;tonnes;120239;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1968;1968;tonnes;128272;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1969;1969;tonnes;126552;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1970;1970;tonnes;136611;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1971;1971;tonnes;136914;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1972;1972;tonnes;127571;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1973;1973;tonnes;130229;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1974;1974;tonnes;145491;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1975;1975;tonnes;141548;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1976;1976;tonnes;148911;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1977;1977;tonnes;149745;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1978;1978;tonnes;149972;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1979;1979;tonnes;161369;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1980;1980;tonnes;168963;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1981;1981;tonnes;155752;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1982;1982;tonnes;159932;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1983;1983;tonnes;152165;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1984;1984;tonnes;165139;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1985;1985;tonnes;169829;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1986;1986;tonnes;171160;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1987;1987;tonnes;171868;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1988;1988;tonnes;153912;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1989;1989;tonnes;156566;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1990;1990;tonnes;165242;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1991;1991;tonnes;173742;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1992;1992;tonnes;165400;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1993;1993;tonnes;156042;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1994;1994;tonnes;143281;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1995;1995;tonnes;148138;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1996;1996;tonnes;159164;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1997;1997;tonnes;152355;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1998;1998;tonnes;147768;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;1999;1999;tonnes;147302;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2000;2000;tonnes;128394;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2001;2001;tonnes;137831;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2002;2002;tonnes;139895;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2003;2003;tonnes;137203;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2004;2004;tonnes;134378;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2005;2005;tonnes;132763;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2006;2006;tonnes;135336;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2007;2007;tonnes;133453;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2008;2008;tonnes;135960;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2009;2009;tonnes;142182;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2010;2010;tonnes;143475;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2011;2011;tonnes;144490;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2012;2012;tonnes;144922;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2013;2013;tonnes;143600;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2014;2014;tonnes;143854;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2015;2015;tonnes;141909;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;867;Meat, cattle;2016;2016;tonnes;144456;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1961;1961;tonnes;5250;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1962;1962;tonnes;5800;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1963;1963;tonnes;8400;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1964;1964;tonnes;10500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1965;1965;tonnes;12400;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1966;1966;tonnes;13500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1967;1967;tonnes;14500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1968;1968;tonnes;15000;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1969;1969;tonnes;15500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1970;1970;tonnes;16200;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1971;1971;tonnes;17500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1972;1972;tonnes;19360;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1973;1973;tonnes;20460;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1974;1974;tonnes;21120;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1975;1975;tonnes;19360;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1976;1976;tonnes;20900;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1977;1977;tonnes;21670;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1978;1978;tonnes;21780;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1979;1979;tonnes;23100;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1980;1980;tonnes;23000;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1981;1981;tonnes;24300;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1982;1982;tonnes;24400;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1983;1983;tonnes;24500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1984;1984;tonnes;25630;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1985;1985;tonnes;27500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1986;1986;tonnes;27500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1987;1987;tonnes;28710;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1988;1988;tonnes;31370;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1989;1989;tonnes;32460;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1990;1990;tonnes;31277;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1991;1991;tonnes;32639;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1992;1992;tonnes;33666;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1993;1993;tonnes;33076;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1994;1994;tonnes;34976;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1995;1995;tonnes;36619;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1996;1996;tonnes;37319;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1997;1997;tonnes;40774;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1998;1998;tonnes;40302;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1999;1999;tonnes;42052;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2000;2000;tonnes;45890;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2001;2001;tonnes;46834;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2002;2002;tonnes;51068;;Official data
